Title,Writer,Director,Actor,Actor.Rating,Director.Rating,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance
I  Robot,Isaac Asimov,Alex Proyas,Will Smith,1,2,2000s,115,105000000,7,22330,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,PG-13,1,0,0,0,0,0
Ice Age,Peter Ackerman,Carlos Saldanha,Ray Romano,3,3,2000s,81,60000000,7.3,22302,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,0,1,1,0,0,0
The Ice Pirates,Stewart Raffill,Stewart Raffill,Robert Urich,3,3,1980s,91,9000000,4.9,1426,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,1,0,1,0,0,0
The Ice Storm,Rick Moody,Ang Lee,Kevin Kline,2,1,1990s,112,18000000,7.5,13115,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0
An Ideal Husband,Oliver Parker,Oliver Parker,Peter Vaughan,3,3,1990s,97,14000000,7,4584,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,PG-13,0,0,1,0,0,1
Identity,Michael Cooney,James Mangold,John Cusack,1,2,2000s,90,30000000,7.3,18747,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0
Idle Hands,Terri Hughes,Rodman Flender,Devon Sawa,3,3,1990s,92,20000000,5.4,5892,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,1,0,0,0
Igby Goes Down,Burr Steers,Burr Steers,Kieran Culkin,3,3,2000s,99,9000000,7.1,7958,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,1,0,0
Imitation of Life,Eleanore Griffin,Douglas Sirk,Lana Turner,1,2,1950s,125,2000000,7.4,1483,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,1
The Importance of Being Earnest,Oliver Parker,Oliver Parker,Rupert Everett,2,3,2000s,97,15000000,6.8,3598,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,0,0,1,1,0,1
Impostor, , ,,3,3,2000s,102,40000000,5.8,3292,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0
In & Out,Paul Rudnick,Frank Oz,Kevin Kline,2,1,1990s,92,35000000,6.2,10352,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0
In Cold Blood,Richard Brooks,Richard Brooks,Robert Blake,3,3,1960s,129,3500000,8,2406,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0
The In Crowd,Mark Gibson,Mary Lambert,Susan Ward,3,3,2000s,104,15000000,4,1342,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,0,0,0,1,0,0
In Dreams,Neil Jordan,Neil Jordan,Annette Bening,1,1,1990s,98,30000000,5.3,3652,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,0,0,0,0
In This World,Tony Grisoni,Michael Winterbottom,Jamal Torabi,3,3,2000s,88,1900000,7.8,815,4.5,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,R,0,0,0,1,0,0
In Too Deep,Paul Aaron,Michael Rymer,Omar Epps,3,3,1990s,95,7000000,5.8,978,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0
In the Bedroom,Andre Dubus,Todd Field,Tom Wilkinson,1,3,2000s,130,1700000,7.4,10177,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0
In the Company of Men,Neil LaBute,Neil LaBute,Aaron Eckhart,2,3,1990s,97,25000,7.3,3618,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,R,0,0,1,0,0,0
In the Cut,Jane Campion,Jane Campion,Jennifer Leigh,3,1,2000s,119,12000000,5.1,4525,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0
In the Heat of the Night,John Ball,Norman Jewison,Sidney Poitier,1,2,1960s,109,2000000,8,6752,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,,0,0,0,1,0,0
In the Line of Fire,Jeff Maguire,Wolfgang Petersen,Clint Eastwood,1,1,1990s,138,40000000,7.3,12923,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,1,0,0
In the Mouth of Madness, De,John Carpenter,Sam Neill,3,1,1990s,95,14000000,6.5,4835,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,0,0,0
The Incredible Shrinking Man,Richard Matheson,Jack Arnold,Grant Williams,3,3,1950s,81,750000,7.6,1544,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,0,0,0
The Incredibles,Brad Bird,Brad Bird,Craig Nelson,3,2,2000s,121,92000000,8.3,30749,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,PG,1,1,1,0,0,0
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,E.M. Kevke,Ray Steckler,Ray Steckler,3,3,1960s,82,38000,2.2,695,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0
The Incredibly True Adventure of Two Girls in Love,Maria Maggenti,Maria Maggenti,Laurel Holloman,3,3,1990s,94,250000,6.5,795,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,R,0,0,1,1,0,1
Indecent Proposal,Jack Engelhard,Adrian Lyne,Robert Redford,1,3,1990s,117,38000000,5.3,7397,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,1
Independence Day,Dean Devlin,Roland Emmerich,Will Smith,1,2,1990s,153,75000000,6.1,61831,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,PG-13,1,0,0,0,0,0
The Indian in the Cupboard,Lynne Banks,Frank Oz,Hal Scardino,3,1,1990s,96,45000000,5.8,1430,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG,0,0,0,0,0,0
Indiana Jones and the Last Crusade,Jeffrey Boam,Steven Spielberg,Harrison Ford,1,1,1980s,127,48000000,8.1,61583,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,1,0,0,0,0,0
Indiana Jones and the Temple of Doom,Willard Huyck,Steven Spielberg,Harrison Ford,1,1,1980s,118,28000000,7.2,34880,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,1,0,0,0,0,0
Inferno,Dario Argento,Dario Argento,Leigh McCloskey,3,1,1980s,102,3000000,6.2,1245,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,0,0,0
The Insider,Marie Brenner,Michael Mann,Al Pacino,1,1,1990s,157,68000000,8,28780,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,R,0,0,0,1,0,0
Insomnia,Nikolaj Frobenius,Christopher Nolan,Al Pacino,1,1,2000s,118,46000000,7.3,22235,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,R,0,0,0,1,0,0
Inspector Gadget,Bruno Bianchi,David Kellogg,Matthew Broderick,1,3,1990s,78,75000000,4,5288,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG,1,0,1,0,0,0
Instinct, Di,Jon Turteltaub,Anthony Hopkins,1,2,1990s,126,55000000,6.1,6298,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0
Interiors,Woody Allen,Woody Allen,Kristin Griffith,3,1,1970s,93,10000000,7.1,1736,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0
Intermission,Mark O'Rowe,John Crowley,Colin Farrell,1,3,2000s,102,5000000,6.4,1971,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,R,0,0,1,1,0,0
The Interpreter,Scott Frank,Sydney Pollack,Nicole Kidman,1,2,2000s,128,80000000,6.6,4678,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,PG-13,0,0,0,1,0,0
Interstate 60, , ,,3,3,2000s,116,7000000,7.7,2495,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,1,1,0,0
Interview with the Vampire: The Vampire Chronicles,Anne Rice,Neil Jordan,Brad Pitt,1,1,1990s,123,50000000,7.2,26698,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0
Intolerable Cruelty,Ethan Coen,Ethan Coen,George Clooney,1,3,2000s,100,60000000,6.6,11967,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,1
Intolerance: Love's Struggle Through the Ages, , ,,3,3,1910s,197,385907,7.8,1493,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,1,0,0
Invaders from Mars,Richard Blake,Tobe Hooper,Karen Black,3,1,1980s,99,12000000,4.6,675,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0
Invasion U.S.A.,James Bruner,Joseph Zito,Chuck Norris,3,3,1980s,107,10000000,3.9,692,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0
Invasion of the Body Snatchers,Richard Collins,Don Siegel,Kevin McCarthy,3,1,1950s,80,417000,7.8,5286,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,0,0,0,0,0,0
Les Invasions barbares, , ,,3,3,2000s,112,5000000,7.9,4900,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,1,1,0,0
Irma la Douce,Alexandre Breffort,Billy Wilder,Jack Lemmon,1,1,1960s,135,5000000,7.2,1964,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,1
The Iron Giant,Brad Bird,Brad Bird,Jennifer Aniston,1,2,1990s,86,48000000,7.9,15151,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,PG,0,1,0,0,0,0
Ishtar,Elaine May,Elaine May,Warren Beatty,1,3,1980s,107,40000000,3.7,3479,14.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,,0,0,1,0,0,0
The Island of Dr. Moreau,Al Ramrus,Don Taylor,Burt Lancaster,1,3,1970s,99,6000000,5.4,620,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,1
The Island of Dr. Moreau,Ron Hutchinson,John Frankenheimer,Marlon Brando,1,1,1990s,99,40000000,4,5983,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,0,0,0,0,0,0
Isn't She Great,Michael Korda,Andrew Bergman,Bette Midler,1,3,2000s,95,36000000,4.8,688,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,1,0,1
It Came from Outer Space,Ray Bradbury,Jack Arnold,Richard Carlson,3,3,1950s,81,800000,6.4,798,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0
It Happened One Night,Samuel Adams,Frank Capra,Clark Gable,1,1,1930s,105,325000,8.3,7924,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,0,0,1,0,0,1
It's a Mad Mad Mad Mad World, , ,,3,3,1960s,192,9400000,7.2,5891,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,,1,0,1,0,0,0
It's a Wonderful Life,Frank Capra,Frank Capra,James Stewart,1,1,1940s,118,3180000,8.6,41199,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,44.5,,0,0,0,1,0,1
The Italian Job,Troy Kennedy-Martin,F. Gray,Mark Wahlberg,1,3,2000s,111,60000000,6.9,18496,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,PG-13,1,0,0,0,0,0
JFK,Jim Garrison,Oliver Stone,Sally Kirkland,3,1,1990s,206,40000000,7.8,26456,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,0,0,0,1,0,0
Jabberwocky,Charles Alverson,Terry Gilliam,Michael Palin,2,1,1970s,105,500000,6,2109,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,0
Jack,James DeMonaco,Francis Coppola,Robin Williams,1,3,1990s,113,45000000,5.2,5256,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,1,0,0
Jack Frost,Steve Bloom,Troy Miller,Michael Keaton,1,3,1990s,101,50000000,4.5,2130,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,0,0,1,1,0,0
The Jackal,Chuck Pfarrer,Michael Caton-Jones,Bruce Willis,1,3,1990s,124,60000000,5.7,12753,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,0,0,0
Jackass: The Movie,Vernon Chatman,Jeff Tremaine,Johnny Knoxville,3,3,2000s,87,5000000,6.1,8893,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,R,0,0,1,0,1,0
The Jacket,Tom Bleecker,John Maybury,Adrien Brody,1,3,2000s,102,19000000,6.4,1564,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,R,0,0,0,0,0,0
Jackie Brown,Elmore Leonard,Quentin Tarantino,Pam Grier,3,1,1990s,154,12000000,7.5,28891,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0
Jacob's Ladder, , ,,3,3,1990s,115,25000000,7.3,8901,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0
Jade,Joe Eszterhas,William Friedkin,David Caruso,2,1,1990s,107,50000000,4.8,2380,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,1,0,0
Jakob the Liar, , ,,3,3,1990s,120,15000000,5.9,2544,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,1,0,0
James and the Giant Peach,Steve Bloom,Henry Selick,Simon Callow,3,2,1990s,79,38000000,6.6,3144,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG,0,1,0,0,0,0
Jane Austen's Mafia!,Jim Abrahams,Jim Abrahams,Jay Mohr,3,2,1990s,83,10000000,4.8,2999,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,1,0,0
Japanese Story,Alison Tilson,Sue Brooks,Toni Collette,1,3,2000s,105,5740000,7,1330,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0
Jason Goes to Hell: The Final Friday,Jay Huguely,Adam Marcus,John LeMay,3,3,1990s,91,2500000,3.9,2651,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0
Jason X,Todd Farmer,James Isaac,Kane Hodder,3,3,2000s,85,14000000,4.6,5975,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,R,0,0,0,0,0,0
Jason and the Argonauts,Beverley Cross,Don Chaffey,Todd Armstrong,3,3,1960s,104,1000000,7.2,2408,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,1,0,0,0,0,0
Jaws,Peter Benchley,Steven Spielberg,Roy Scheider,1,1,1970s,130,12000000,8.2,46978,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,0,0,0
Jaws 3-D,Peter Benchley,Joe Alves,Dennis Quaid,1,3,1980s,99,20500000,3.2,5028,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0
Jaws: The Revenge,Peter Benchley,Joseph Sargent,Lorraine Gary,3,3,1980s,91,23000000,2.6,5365,34.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0
Jay and Silent Bob Strike Back,Kevin Smith,Kevin Smith,Jason Mewes,3,2,2000s,104,22000000,6.9,24211,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,R,0,0,1,0,0,0
Jeepers Creepers,Victor Salva,Victor Salva,Gina Philips,3,3,2000s,90,10000000,5.4,10973,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,0,1,0,0
Jeepers Creepers II,Victor Salva,Victor Salva,Ray Wise,3,3,2000s,104,25000000,5.2,4069,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0
Jefferson in Paris, Prawer,James Ivory,Nick Nolte,1,3,1990s,139,14000000,5.6,665,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,0,1,0,0
Jerry Maguire,Cameron Crowe,Cameron Crowe,Tom Cruise,1,1,1990s,139,50000000,7.3,34623,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,1,0,1
Jersey Girl,Kevin Smith,Kevin Smith,Betty Aberlin,3,2,2000s,102,35000000,6.4,6853,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,0,0,1,1,0,0
Jesus' Son,Elizabeth Cuthrell,Alison Maclean,Billy Crudup,2,3,1990s,107,2500000,6.9,2291,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0
Jezebel,Robert Buckner,William Wyler,Bette Davis,1,1,1930s,104,1250000,7.4,1163,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,24.5,,0,0,0,1,0,0
Jimmy Hollywood,Barry Levinson,Barry Levinson,Joe Pesci,1,1,1990s,112,20000000,5.3,749,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,1,0,0
Jimmy Neutron: Boy Genius,John Davis,John Davis,Megan Cavanagh,3,3,2000s,84,25000000,6,2280,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,1,1,0,0,0
Jing cha gu shi III: Chao ji jing cha, , ,,3,3,1990s,95,900000,6.7,2024,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,1,0,1,0,0,0
Jing wu men,Wei Lo,Wei Lo,Bruce Lee,1,3,1970s,107,100000,6.7,1667,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,1,0,0,1,0,0
Jingle All the Way,Randy Kornfield,Brian Levant,Arnold Schwarzenegger,1,3,1990s,88,60000000,4.7,6246,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,1,0,1,0,0,0
Jisatsu saakuru, , ,,3,3,2000s,99,250000,6.8,1311,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,0,0,0
Joe Dirt,David Spade,Dennie Gordon,David Spade,3,3,2000s,91,16000000,5.1,5514,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1
Joe Somebody,John Shepherd,John Pasquin,Tim Allen,2,3,2000s,98,38000000,5.5,1937,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG,0,0,1,1,0,1
Joe's Apartment,John Payson,John Payson,Jerry O'Connell,3,3,1990s,80,13000000,5,2169,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0
John Q,James Kearns,Nick Cassavetes,Gabriela Oltean,3,3,2000s,116,36000000,6.4,8952,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0
Johnny English,William Davies,Peter Howitt,Rowan Atkinson,1,3,2000s,87,35000000,5.6,8125,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG,1,0,1,0,0,0
Johnny Mnemonic,William Gibson,Robert Longo,Keanu Reeves,1,3,1990s,96,26000000,4.7,8258,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,0,0,0
Johnson Family Vacation,Earl Jones,Christopher Erskin,Entertainer Cedric,3,3,2000s,97,12000000,3.6,955,24.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0
Jonah: A VeggieTales Movie,Tim Hodge,Mike Nawrocki,Phil Vischer,3,3,2000s,82,15000000,6.2,810,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,1,1,0,0,0
Josie and the Pussycats,Dan DeCarlo,Harry Elfont,Rachael Cook,3,3,2000s,98,22000000,5.2,4508,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,PG-13,0,0,1,0,0,0
Joy Ride,J.J. Abrams,John Dahl,Steve Zahn,3,3,2000s,97,23000000,6.6,8132,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,0,0,0
Judge Dredd, De,Danny Cannon,Sylvester Stallone,1,3,1990s,96,90000000,4.6,9979,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,0,0,0
Judgment at Nuremberg,Montgomery Clift,Stanley Kramer,Spencer Tracy,1,2,1960s,186,3000000,8.2,3336,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0
Jui kuen II,Rod Dean,Chia-Liang Liu,Jackie Chan,1,3,1990s,99,2000000,7.5,4628,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,1,0,1,0,0,0
Jumanji,Jonathan Hensleigh,Joe Johnston,Robin Williams,1,2,1990s,104,65000000,6,14874,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG,1,0,1,0,0,0
The Jungle Book 2,Carter Crocker,Steve Trenbirth,John Goodman,1,3,2000s,72,20000000,5.2,764,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,1,0,0,0,0
The Jungle Book,Mark Geldman,Stephen Sommers,Jason Lee,3,3,1990s,111,27000000,5.9,1692,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,1
Jungle Fever,Spike Lee,Spike Lee,Wesley Snipes,2,1,1990s,132,14000000,6.4,2829,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,1
Jurassic Park,Michael Crichton,Steven Spielberg,Sam Neill,3,1,1990s,127,63000000,7.4,57473,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,1,0,0,0,0,0
Jurassic Park III,Peter Buchman,Joe Johnston,Sam Neill,3,2,2000s,92,93000000,5.6,20690,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0
The Juror, Dawes,Brian Gibson,Demi Moore,1,2,1990s,118,44000000,5.3,2920,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0
Just Visiting, , ,,3,3,2000s,93,40000000,5.6,2212,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,0
Juwanna Mann, , ,,3,3,2000s,91,15600000,3.9,885,24.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0
K-19: The Widowmaker,Christopher Kyle,Kathryn Bigelow,Sam Spruell,3,1,2000s,140,100000000,6.6,8292,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0
K-PAX,Gene Brewer,Iain Softley,Kevin Spacey,1,3,2000s,120,48000000,7.2,17235,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0
Kafka,Lem Dobbs,Steven Soderbergh,Jeremy Irons,1,1,1990s,92,11000000,6.9,1751,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0
Kagemusha,Masato Ide,Akira Kurosawa,Tatsuya Nakadai,2,1,1980s,162,6000000,7.9,3536,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0
Kalifornia,Stephen Levy,Dominic Sena,Brad Pitt,1,3,1990s,118,9000000,6.6,8113,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0
Kama Sutra: A Tale of Love,Helena Kriel,Mira Nair,Indira Varma,3,2,1990s,114,3000000,5.5,1491,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,R,0,0,0,1,0,1
Kangaroo Jack,Steve Bing,David McNally,Jerry O'Connell,3,3,2000s,89,60000000,3.9,3661,24.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,PG,0,0,1,0,0,0
Kansas City,Robert Altman,Robert Altman,Jennifer Leigh,3,1,1990s,116,19000000,5.8,1077,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,0,1,0,0
Karakter,Ferdinand Bordewijk,Mike Diem,Jan Decleir,3,3,1990s,122,4500000,7.7,2687,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0
Kate & Leopold,James Mangold,James Mangold,Meg Ryan,1,2,2000s,123,48000000,6.3,8060,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,1
The Keep,Michael Mann,Michael Mann,Scott Glenn,3,1,1980s,96,6000000,5.4,1217,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0
Keeping the Faith,Stuart Blumberg,Edward Norton,Ben Stiller,1,3,2000s,128,30000000,6.8,11351,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,PG-13,0,0,1,1,0,1
The Kentucky Fried Movie,Jim Abrahams,John Landis,Marilyn Joi,3,1,1970s,90,600000,6.4,3756,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0
The Kid,Charles Chaplin,Charles Chaplin,Carl Miller,3,3,1920s,54,250000,8.2,2687,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,0,0,1,1,0,0
The Kid,Audrey Wells,Jon Turteltaub,Bruce Willis,1,2,2000s,104,65000000,6.1,5418,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG,0,0,1,1,0,0
